고유번호,프로젝트,지역,주소,시도,시군구,읍면동,지역2,지구,용도,대지면적,건축면적,연면적,건폐율,용적률,지상층수,지하층수,구조,내부마감,외부마감,설계개념
D-02499,바라움,경기,경기 용인시 기흥구 영덕동 1037-11,경기,용인시,기흥구 영덕동 1037-11,도시지역,,단독주택,441.7,205.98,403.42,46.63,91.33,3,0,철근콘크리트조,,,"바라움의 대지는 산을 등지고 아래를 내려다보는 단독주택지의 한 필지이다. 3M 정도 고저차가 있는 이 대지의 중앙에 건물의 프로그램과 구성, 그리고 형태의 이유가 되는 ‘길’을 만들었다. 건물을 이루는 세 개의 매스는 이 길을 중심에 두고 서로 어우러진다.    건물의 정면에 있는 것은 대문이 아닌 길의 입구이다. 대지의 가운데 있는 이 길은, 비유하자면 각각의 매스와 프로그램으로 뻗어나가는 줄기 역할을 한다. 길의 입구 부분은 어두워 보이지만, 안으로 들어간 사람들은 곧 빛을 만나게 된다. 입구 위를 덮는 지붕 같은 덩어리는 돌출된 앞쪽 두 매스의 이음매일 뿐, 길은 하늘을 향해 열려있다.    길을 따라 오르다 처음 만나는 것은 왼쪽에 난 문이다. 이것은 전체 대지의 앞 쪽 왼편의 첫 번째 매스 안으로 들어갈 수 있는 출입구이다. 독립적으로 분리되어 온전히 한 채의 집 기능을 하는 이 첫 번째 매스는 임대세대로 계획되었는데, 현재 건축주의 동생 가족이 거주하고 있다. 이곳은 주인세대와 별도로 계획되어 3개층에 필요한 프로그램을 분산시켰다. 현관과 이어진 1층에는 현관보다 낮은 레벨의 거실이 있다. 거실과 스킵플로어로 이어진 2층에는 주방과 식당이 있고, 이 공간도 자녀들을 위한 두 개의 방과 스킵플로어로 이어진다. 2층 자녀방과 스킵플로어로 이어진 3층에는 단지 전체의 전망이 한눈에 들어오는 부부침실을 두었다. 입구의 현관과 맞닿아 이어진 내부 계단은 가운데 길에서 뻗어나간 동선의 작은 줄기로 1, 2, 3층을 관통하는 주동선을 만들어낸다. 이 첫 번째 매스는 대지의 앞 쪽 오른편 두 번째 매스와 2층에서 이어질 수 있게 계획하였다.    주인세대는 이 두 번째 매스와 대지 가장 안쪽의 세 번째 매스의 공간이 결합되면서 구성되는데, 주인세대의 주출입구는 가운데 길 끝 2층 레벨에 있다. 현관문의 열고 들어서면 응접실로 이어진 창과 바깥마당이 시야에 들어온다. 신발을 벗고 툇마루에 올라서면 주방, 식당, 응접실, 할머니 방으로 구성된 공간이 별채로 구성되어 있다. 이 공간은 할아버지 방과 낮은 단으로 연결되어 있다. 3층은 주인침실과 거실로 구성된 공간이 있고, 낮은 단을 오르면 전실, 자녀방, 다락방으로 구성된 자녀공간이 나온다.      스킵플로어로 이어진 계단이 이 두 매스의 내부공간을 수직?수평으로 모두 이어주는 역할을 한다. 1, 2, 3층의 층간 움직임이 이루어 질 때 이 계단은 수직으로 공간을 이어주며, 수평으로 공간을 잇는 것은 앞쪽 두 번째 매스와 뒤쪽의 세 번째 매스 사이를 이동할 때이다. 말하자면 1층의 주차장에서 취미실로 들어와 2층의 현관으로 갈 때 계단을 크게 오르고, 주방, 식당에서 앞쪽 매스에 있는 할아버지 방으로 갈 때는 낮은 계단을 이용하게 되면서 상대적으로  수평이동이 강조되는 것이다. 이러한 움직임의 패턴은 두 번째 매스의 2층에서 세 번째 매스의 거실로 이동할 때, 거실에서 낮은 계단을 통해 두 번째 매스에 있는 자녀방으로 이동 할 때 다시 반복된다. 대지의 경사를 활용해 건물을 그대로 올렸기 때문에 이처럼 레벨차를 이용한 공간의 연결이 가능할 수 있었다.       겉으로 드러내는 형태로부터 바라움의 내부공간을 읽어내기는 어렵다. 한 시야에 모든 것이 포착될 수 있게 하기보다 시간적 간격을 둔 공간의 접근을 노렸다. 길을 오르고, 시선을 돌리고, 다시 새로운 공간이 나타나는 행위의 과정을 건물에 담고 싶었다. 내부의 공간 사이를 이동하고 머무는 동선의 움직임과 행위의 변화가 곧 건물의 형태에도 반영되었다. 그리고 중심에는 모든 것의 출발이자 중심인 ‘길’이 있다.     [심사평]  3m 고저차가 있는 단독주택지에 주인세대와 임대세대가 거주하는 세 동의 덩어리를 수평 수직으로 연결했다. 중심부에 계단과 복도를 따라 다채로운 내외부의 풍경이 펼쳐진다. 두 세대가 사는 흥미로운 공간 구성을 만든 것에 주목했다."
D-02501,게스트하우스 리븐델,경기,경기 가평군 청평면 고성리 21,경기,가평군,청평면 고성리 21,주거지역,경관지구,단독주택,3353,723.05,955.89,21.56,23.94,2,1,철근콘크리트조,,,"이국(異國)적 건축  이국적 건축이란 무엇일까. 2002년 하반기부터 양평과 청평 등 가평일대에는 북한강을 따라 전원주택과 펜션의 바람이 불기 시작했다. 그리고 자본가들은 약속이나 한 듯이 중세 유럽과 식민지 시절 미국 건축을 흉내내기 시작했다. 이들은 동화 속에서나 가능할 법한  건축적 취향으로 가평을 과거 웨스턴으로 재건하고, 유럽적 장소로 건설하기를 희망하는 것처럼 보였다. 그래서 자본가들에 의해 착상된 가평의 이국적 건축코드는 이제 우리에게는 친숙한 문화(?)가 된지 오래다. 그러나 현실은 그렇지 않다. 왜냐하면, 이국적 정서는 친숙함을 전제로 하지 않으며, 낯설음과 호기심을 동력으로 삼기 때문이다. 그래서 채 10여년도 되기 전에 가평은 이국적 건축의 경연장에서 유효기간이 지난 미니어쳐로 폐기되고 있다. 나는 다시 묻고 싶다. 지속가능한 이국적 건축은 무엇인가.     이국(異國)의 설치효과  현대 미술은 철학과 문학적 미감과 함께 실생활에 활력과 대안적 담론을 제시해 왔다. 특히 설치(installation)미술은 구축물에 표현된 예술적 가치는 물론, 설치효과를 통해 새롭게 그 위치를 굳건히 하였다. 만약, 설치(installation)가 비실용적 구축물에 지나지 않는다면, 우리에게 왜 설치가 필요하겠는가. 바로 설치 효과 때문이다. 정지된 피사체인 조각과는 달리 설치를 통해 관람자는 피사체 내부에서 자신의 시각을 설치한다. 이국적 감각의 발화지점은 여기에 있다. 조각의 몸 안으로 들어가 밖을 살피는 것. 가평의 이국적인 건축을 향해 리븐델이 던지는 발상은 내부화된 건축의 공간 안에서 실재하는 이국적 환경을 설치하는 것이다. 외부환경(건축)안에서 공간은 캠버스이고 그 조직안에서 강과 산, 그리고 하늘은 설치된다. 친숙했던 환경이 이안에서는 유리알처럼 해체되고 새로운 이국적 경험이 된다. 그래서 리븐델은 다분히 설치효과를 기대하는 설치(installation) 그 자체이다.     게스트 하우스 리븐델  리븐델은 양식주의에 의존한 건축이 갖는 한계, 즉 원본에 의존하여야 하는 형식과 가치, 제한적 유통기간을 폐기한다. 그리고 새로운 프로그램으로 이국적 낭만을 재생산한다. 새로운 프로그램이란, 소유자와 점유자인 게스트와의 관계를 역설적으로 보는 공간 구조에 있다. 점유자인 게스트는 전체 공간에서 심장부를 점유한다. 내부에서 별도의 동선으로 구획된 소유자의 공간은 손님들을 조력하기 위함이다. 리븐델의 동맥인 내부화된 중정은  강과 산, 그리고 하늘이 설치된 각각의 공간으로 손님들을 견인한다. 손님을 위한 마스터룸 또한 거대한 카메라로 고안되었으며 환경의 변화에 지속적으로 반응한다. 일출이 설치된 거실은 묵직한 콘크리트 그늘아래서 즐길 수 있다. 북한강이 설치된 수영장, 강가의 지형이 복원된 옥상은 리븐델이 북한강에 놓여진 거대한 강자갈로 설치되었음을 보여준다. 반딧불, 땅과 하늘이 이 강자갈 위에 설치되고 사람들은  그 안에서 새로운 이국의 아침을 맞이 한다.       [심사평]  북한강과 앞산의 수려한 풍광을 마주하고 있는 수변에 세워진 주택으로, 필요에 따라 건물 전체를 게스트하우스로 대여할 수 있도록 계획됐다. 역동적 형태의 노출 콘크리트 덩어리는 외부에서는 사방으로 교차하는 방향성을 드러내며 내부에서는 다양한 각도의 조망을 끌어들이는 장치로 구상됐다."
D-02509,방배동 집,서울,서울 서초구 방배동 12-38,서울,서초구,방배동 12-38,도시지역,시설보호지구,단독주택,587,343.57,590.81,58.53,100.65,3,0,철근콘크리트조,,석조,"[작품설명] 출처 : 2013 서울건축문화제 홈페이지    방배동은 오랫동안 좋은 주거지 중 하나다. 부지 남서 방향에 아파트가 들어서기 전까지는 멀리 남산이 한 눈에 조망되었다. 대림건설이 2006년 15층 아파트 5개동을 건립했고, 그 이후 우측으로는 4층 빌라가 들어섰다. 그나마 동쪽으로 이어지는 길을 따라 단독주택들이 잘 유지 되 보이지만 카페나 레스토랑으로 변해가고 있다. 주거지와 가로변의 상업화는 토착 상권이나 거주자들을 내모는 효과로 작용한다.    건축주와 만나 초기에 나눈 대화는 이 집을 설계하는 내내 중요한 단서가 된다. “새로 짓는 집이 얼마나 긴 시간을 우리와 함께할 수 있을 까요? 주변의 거주 환경도 지금보다 더 많이 바뀌어 있을 것을 가정할 때, 사무실 혹은 미술을 전공한 딸이 사용하게 된다면 갤러리가 될 수도 있지 않을까요?“ 60대 후반인 건축주는 이 집이 향후 다른 용도로 기능할 가능성에 대해 말하고 있는 것이다.    방배동집은 동남향의 전형적인 ‘ㄱ’자 집이다. 식당을 중심으로 동쪽과 남서쪽으로 각각 안방과 거실을 배치했다. 안주인은 하루 중 가장 많은 시간을 식탁에서 책을 읽으며 보내는 일이 될 것이고, 손님이 찾아온다면 거실보다 이곳에서 먼저 차를 대접하며 맞게 될 것이다. 내밀해진 거실은 중정과 동쪽 게이트를 넘어 이웃집의 정원들과 시각적으로 연속 된다. 3층은 ‘ㄱ’자 위에 ‘一’자 평면으로 자연스럽게 또 하나의 커다란 중정 마당을 갖는다. 3층 마당은 겨울에 아파트의 깊은 음영이 만드는 위협으로 부터 따듯한 햇빛을 담는 구실을 하고 있다. ‘ㄱ’자 집이 담겨진 이 층 높이의 백색 상자는 아파트와 4층 빌라의 부담스러운 시선들을 막아 주고, 필요한 곳에만 제한적인 개구부를 갖는다. 다시 이 백색상자는 서측 빌라의 스케일과 향후 주변의 변화에 대응하기 위해 한층 높이로 들어 올려 진다.  방배동집은 미래에도 여전히 집일 수도 있지만 갤러리나 사무실이 될 수도 있다. 단순한 상자는 이 집의 특징을 중성적인 이미지로 드러내는 형태언어이다. 건물시스템은 향후 가변성, 개조 보수 용이성 등이 확보 될 수 있는 Skelecton & Infill System을 적용 하였다. 수명이 길고 공용적 특성이 높은 주요 구조체(철근콘크리트조)와 상대적으로 수명이 짧고 사적인 내장재(경골목구조)를 분리함으로서 다양한 라이프 사이클 또는 용도변화가 가능하다."
D-02516,휴머니스트 사옥,서울,서울 마포구 연남동 564-40,서울,마포구,연남동 564-40,준주거지역,개발진흥지구,근린생활시설,325.4,194.33,910.99,59.72,155.12,4,2,철근콘크리트조,,노출콘크리트,
D-02520,질모서리,서울,서울 서초구 서초동 1550-12,서울,서초구,서초동 1550-12,도시지역,경관지구,근린생활시설,383,220.99,1028.97,57.7,199.94,6,1,철근콘크리트조,노출콘크리트+THK3 에폭시라이닝,노출콘크리트,[작품설명] 출처 : 2012 서울건축문화제 홈페이지    잉여 剩餘  주거용도로 지정된 지역에 업무용 건물을 올리는 것은 예복을 만드는 일에 평상복의 기준을 입히는 것과 같다. 면적과 높이의 상관관계를 규정한 법규를 제한 조건으로 삼기보다 대지에 주어진 기본조건으로 풀었다.  도시의 밀도를 조절하기 위한 사회적 규범과 최대의 효용을 확보하려는 건축의 의지는 충돌할 수밖에 없다. 허용된 건폐율과 용적률을 확보하는 방법은 정형을 포기하는 것이다. 비정형은 자칫 난삽할 수도 있으나 한편 무미한 골목길 풍경을 자극하는 건축의 제안이 된다.  공간은 닫아서 가두기보다 열려서 트여 있어야 한다. 좁고 넓음과 낮고 높은 것은 상대적인 감각이므로 열린 공간은 감각의 확장으로 절대적 기준을 허물 수 있다.  골격으로 공간과 형태의 틀을 만들고 내용을 담는 경계를 안으로 숨겼다. 형식인 구조와 내용인 공간은 비어있는 사이를 갖는다. 화분과 의자가 난간의 역할을 하는 사이는 안과 밖 어디에도 소속되지 않는 잉여 공간이다.  건축의 역할은 공간의 영역을 설정하는 얼개로 작용한다. 공간을 지탱하는 틀이 스스로 모양을 만들 수 있다면 과장과 장식은 이미 존재할 의미를 갖지 않는다.
D-02521,현덕재,서울,서울 성북구 성북동 297-1,서울,성북구,성북동 297-1,주거지역,미관지구,단독주택,284,,403.56,,,3,1,,,노출콘크리트,"[작품설명] 출처 : 2012 서울건축문화제 홈페이지    디자인 관점(Systematic Design Strategies) ? 이해와 방법(Why & How ?)  혁신적 디자인(Innovative Design)  이 프로젝트는 시작단계 부터 은퇴한 건축주 부부의 안정적인 노후의 수입원이 될 근린생활시설이 지리적 불리함을 극복하고 임대가 잘 되어야 한다는 건축주의 뚜렷한 목적과 방향제시 독특한 디자인의 요구가 있었다. 건축주는 아름다운 디자인의 건축이 주변환경을 개선하고 사람들의 유입을 증가시키는 데에 얼마나 긍정적인 영향을 주는지 잘 알고 있었으며 독특한 디자인과 새로운 주거유형을 선도하고 싶은 마음을 주택을 통해 시도하기를 원했다.  또한, 건축주는 주택의 디자인을 이해하고 디자인의 중요성을 아는 사람에게 근린생활시설을 임대하길 원하여 주택의 디자인을 해치지 않기를 바랐으며 완공 전에 이 주택을 알게 된 임차인이 주택을 설계한 건축가에게 근린생활시설의 공간 디자인을 의뢰하여 건축물의 건축적 완성도를 더욱 높일 수 있었다. 건축가의 디자인으로 완성된 부띠크 헤어살롱 ‘미에가’는 건축물과 헤어살롱 내부의 독특한 디자인으로 인해 많은 사람들이 방문하고 있다.    3대가 함께 사는 집(Three generations of the family live together.)  이 집은 3대가 같이 사는 집이다. 개개인의 연령대와 생활유형이 다르기 때문에 개인생활은 보호하면서 온가족이 한데 모였을 때 함께 있으면서 독자적인 행위를 하는 것이 중요하다. 거실과 식당이 배치된 2층은 매개공간 혹은 사이공간으로서 가족 구성원들이 서로 모여 커뮤니티를 형성할 수 있는 공간이다. 심리적 경계와 물리적 경계 사이의 모호성을 갖고 있는 거실은 사용자의 선택에 따른 행태와 유형에 따라 고정된 틀이 아니라 유동적이고 다양한 이벤트가 일어나고 이를 가능하게 하기 위해 자유로운 순환체계를 갖는 동선을 계획하여 공간 속에서 끊임없이 움직임이 일어나도록 한다.  또한, 거실의 레벨을 3단계로 분리하여 하나의 공간에서 독립적인 활동이 가능하도록 함으로써 기존의 거실에서 할 수 있는 행위 외에도 다양하고 예측 불가능한 행위가 일어날 수 있는 가능성을 가진 열린 공간으로 계획했다. 이것은 주방과 식당에도 적용되어 고정적이지 않고 유동적인 건축적 요소인 접이식 문을 통해 경계의 모호성으로 인한 공간의 확장과 분절이 가능하도록 했다.     게스트를 위한 독립공간(Independent space for the guest)  1층에 위치한 게스트룸은 동선과 공간의 분리를 통해 게스트의 독립적인 공간 활용을 가능하게 한다. 게스트룸 주변으로 보조주방(다목적실)과 MASTER BEDROOM 내에 설치된 화장실과는 별도로 계획 된 화장실이 배치된다. 주택을 방문한 게스트는 낮 시간 동안 공간을 경험하고 2층의 매개공간에서 집주인과 더불어 즐거운 시간을 보낼 것이다. 밤이 되면서 게스트와 집주인 간의 동선은 완전히 분리되는데 집주인이 사용하는 화장실과 2층 주방이 아닌 게스트만을 위한 보조주방과 화장실을 사용하게 된다. 이를 통해 게스트와 집주인은 각자의 PRIVATE한 생활을 침해받지 않고 독립적인 활동이 가능해진다. 화장실과 2층 주방이 아닌 게스트만을 위한 보조주방과 화장실을 사용하게 된다. 이를 통해 게스트와 집주인은 각자의 PRIVATE한 생활을 침해받지 않고 독립적인 활동이 가능해진다.     합리적 대안 ? 1층 임대 (An alternative method ? 1st floor : lease to tenant)  이 주택은 단독주택이지만 필요에 따라 1층을 임대할 수 있다. 1층에는 2개의 방외에도 화장실과 주방이 위치해 있다. 이로 인해 1층과 2,3층 공간을 분리하여 사용 할 수가 있으며 1층과 2층으로 나누어진 출입구는 임대인과 임차인의 동선을 분리시켜 주는 역할 뿐 아니라 독립적인 생활공간을 형성함으로써 임대인과 임차인 개개인의 프라이버시를 보호한다. 이로 인해 1층에서 생활하는 임차인의 독립적인 공간 활용이 가능하게 된다."
D-02522,성연재,서울,서울 종로구 삼청동 35-198,서울,종로구,삼청동 35-198,주거지역,취락지구,단독주택,,,36.36,,,1,0,,,,"[작품설명] 출처 : 2012 서울건축문화제 홈페이지    “들창을 열면 인왕산이 보이는 lazy room은 햇살을 받으며 쉬고 책을 보며 낮잠도 잘 수 있는 편안한 방이 예요. 하늘로 천창을 통해 시간과 함께 흘러가는 달도 볼 수 있죠. 집에 돌아오면 위안을 받는 느낌이고 집에 있는 시간이 참 평화롭고 좋아요.” - 건축주의 이야기    2011년 여름에 완성된 집으로 삼청동 언덕에 자리하고 있다. 건축주 부부는 땅과 가까운 아늑한 집에서 살고 싶다는 생각으로 한옥을 선택하였다 한다. 36.36(11평) 넓이의 작은 한옥 한가운데 위치한 대청은 마당이 보이는 투명한 유리창과 하늘을 바라다보는 천창을 두어 아담하고 밝은 공간이 되도록 하였다. 대청 오른쪽에는 안방을 두어 한지로 마감했다. 마당이 시원하게 보이는 안방 창은 밖으로 내민 것처럼 보이지만, 실제로는 내부로 벽체를 들여 수납공간을 둔 것이다. 신발이나 우산, 마당에서 쓰는 물건 등을 이 공간에 두고 쓰도록 배려했다.     대청 왼쪽에는 콤팩트한 부엌을 두어 작은 공간을 효과적으로 사용하였다. 식음료 등을 보관하는 비행기 내 주방, 갤리(Galley)에서 착안한 것이다. 통로 같은 부엌을 지나면 인왕산이 보이는 커다란 창이 달린 lazy room이 있다. ‘게으름쟁이 방’이란 뜻의 lazy room은 햇살을 받으며 책을 보거나 낮잠도 자고 빈둥거릴 수 있는 편안한 공간으로, 바쁘게 살아가는 현대인에게 필요한 ‘삶의 정서’를 공간으로 제안한 것이다."
D-02523,TCC Center,서울,서울 영등포구 당산동4가 93-1,서울,영등포,구 당산동4가 93-1,기타지역,경관지구,근린생활시설,,,4570.65,,,6,2,,,,"[작품설명] 출처 : 2012 서울건축문화제 홈페이지    TCC 동양은 지역에 기반을 둔 전통의 철강기업이다. 1950년대 말 동양석판으로 영등포에 구 사옥을 지을 때 주변은 황량한 벌판같은 곳이었으며, 1960년대 초 영등포 공업단지가 조성된 곳이기도 하다. 특히 1968년 포스코(당시 포항종합제철)가 창업되기 이전부터 우리나라 굴지의 철강산업의 근원지라는 역사적 의미도 있다.  이 건축물은 이런 역사적인 텍스트 위에 만들어진 TCC 동양의 50주년 기념관이다. TCC 동양은 이 기녀모간 건립을 통하여 지난 반세기의 역사를 기념할 뿐만 아니라 향후 백년 기업으로 도약하려는 염원을 담고 있다.     건축가는 본 사옥을 설계하면서 50주년 기념관으로써의 역사와 도약의 의지를 담아내는 한편 복합문화공간으로써의 사회 공헌적인 요소를 담고자 했다. 또한 TCC 동양 고유의 이미지를 독창적으로 표현하고자 했다. 이를 위해 조형적인 고려를 거듭하여 외관 디자인이 결정되었다. 기념관을 정면에서 바라보면 입체적인 원형과 오른편에 수직적인 매스가 눈에 들어온다. 좌측의 원통형 매스는 시각적으로 철강재 코일이나 캔을 연상시킨다. 이는 TCC 동양의 주력 제품군을 형상화한 것이다. 또한 살짝 타원형으로 구성된 이 형상을 역동적인 도시의 흐름을 반영하며 주야간에 조명의 변화로 도시적 언어를 구사하고 있다. 아울러 원은 소통과 화합이라는 TCC 동양의 지향점을 보이고 있다. 여기에 대비되는 사선적이고 수직적인 매스는 TCC 동양의 성장과 백년 기업으로 거듭나는 의지를 표현하고 있다. 원형과 수직선의 긴장과 조화는 음과 양, 보이드와 매스의 대비를 통해 TCC 동양인들의 가치를 보여준다. 이는 미래에 아름다운 TCC 동양의 문화 유산으로 자리매김하길 기원한 것이기도 하다."
D-02524,블루웍스 사옥,서울,서울 종로구 삼청동 27-8,서울,종로구,삼청동 27-8,도시지역,경관지구,근린생활시설,,,787.56,,,2,1,,,,"[작품설명] 출처 : 2012 서울건축문화제 홈페이지    블루웍스 부지는 북촌의 북쪽 끝 조선시대 무기고였던 번사창을 인근에 두고 있다. 완만한 경사로 이어지던 지형이 이 부지에서 급한 3 개층 높이의 고저차를 보인다. 북촌로에서 이어지는 골목길은 부엉이박물관과 마주보는 이 부지 앞에서 끝난다. 우리 계획의 첫 번째 제안는 이 골목길을 연장하는 것이다. 부지 내를 통과해 감사원 앞길과 연결 주민들과 공유하는 것이다. 북촌의 지구단위계획은 큰 규모의 단일 시설을 제한하고 있다. 규모 있는 땅을 개발하더라도 작은 규모 시설의 집합으로 유도하고 있다. 블루웍스출판사는 레벨차를 이용해 3 개층으로 구성되었다. 그러나 이 3 개층은 내부동선이 존재하지 않는다. 부지 내로 끌어들인 골목길을 통해 서로 다른 방향과 레벨에서 진입한다. 서로 다른 3 개의 건물이 골목길을 따라 수직으로 적층된 형태이다.    복합문화공간으로서의 출판사  블루웍스출판사는 아이들을 위한 교육 콘텐츠를 개발하고 유통하는 새로운 유형의 출판사이다. 주로 온라인을 통해 콘텐츠를 제공하되 오프라인 상에서 관련 내용을 교육하기도 하고 새로운 콘텐츠 개발을 위한 정보를 수집 한다. 출판사는 지역사회 시설로서 북촌의 문화적 프로그램도 포함 한다. 레벨차를 이용한 3개의 영역의 2층은 출판사의 업무공간이다. 1층은 부지가 갖고 있는 공간성을 극대화한 곳으로 북악산 전망 좋은 레스토랑 개념으로 설계된 연수교육공간이다. ‘맛있는 배움, 맛있는 책’을 모토로 좋은 음식과 교육이 함께 이루어진다. 이곳은 출판사가 세상과 만나는 통로로 기능 한다. 전면 도로에서 접근되는 지하층 레벨의 전시와 이벤트를 위한 다목적 문화 공간이다. 전시공간 형태로 설계된 이 공간은 출판사의 출판 관련 이벤트와 북촌 지역사회의 전시, 커뮤니티 활동 등 다양한 형태의 문화활동에 활용 될 수 있다.     물성과 교감으로서의 건축  BLUEWORKS 사옥은 자연과의 관계, 인간과의 교감을 중심으로 만들어 진다. 전통적인 건축재료인 벽돌, 나무와 같은 자연적인 재료들이 만드는 구조와 마감은 우리의 시선이 질료의 순수성에 대해 지각하는 것을 가능하게 한다. 1층과 지하층은 철근콘크리트구조이고 2층은 목구조이다. 외벽은 검은색 벽돌로 마감했다. 2층은 가볍게 느껴지도록 벽돌벽면을 알루미늄띠로 분절시켜 내부의 구법을 암시하고 있다. 벽은 경골목구조이고 지붕은 두 번 절곡되어 리듬감있게 흐르는 장변 방향을 따라 LVL(Laminated Veneer Lumber) 서까레(Rafter)를 보냈다. LVL구조부재와 천장과 벽면의 낙엽송 합판의 색상도 같은 느낌으로 채도를 낮추었다. 목구조가 오브제처럼 보이지 않게 해 공간이 시각의 측면을 넘어 자연스럽게 인간의 몸과 교감하게하기 위함이다. 서울시립대학교강촌수련원의 조인트가 플레이트와 볼트를 이용하여 목재 속에 숨겨진 형태로 있던 것에 비해 블루웍스에서는 디자인된 주조철물 디테일을 적극적으로 노출시켜 나무와 함께 공간 구성요소로 작용한다."
D-02525,더 웨스트 빌리지,서울,서울 종로구 궁정동 29-2,서울,종로구,궁정동 29-2,농립지역,미관지구,단독주택,109.96,54.83,209.83,50,131.1,3,1,철근콘크리트조,,벽돌,"경복궁 인근 서촌에 위치한 더 웨스트 빌리지(The West Village)는 저층고밀도복합건물이다. 인왕산과 경복궁사이의 서촌이라는 구도심에서 동네의 역사와 문화를 보존하면서 활력을 살리기 위한 방안으로서 주거와 상업이 어우러진 건물을 계획했다. 일명 ‘무지개떡’ 건물로서 지하와 1층은 근린생활시설, 2, 3층은 주거공간으로 계획되어 주거와 비주거 기능을 한 건물에 수직적으로 배치했다.  더 웨스트 빌리지는 ‘평범하면서도 평범하지 않은 건물’(Extraordinarily Ordinary)이라는 생각을 바탕으로 시작되어 대지의 특성을 건물의 성격에 밀접하게 반영했다. 북쪽으로는 큰 창을 통해 북악산과 인왕산의 경관을 감상할 수 있도록 했고, 다세대 주택을 향한 남측면은 벽돌조의 투시형 벽면을 설치해 경관은 거르고 햇빛은 받아들일 수 있도록 했다. 이 벽돌벽은 그 자체로 건물의 입면요소로서 시간과 계절에 따라 건물 내외부에 다양한 패턴을 만들어낸다.  벽돌이라는 건축재료 자체가 가지고 있는 물성을 그대로 드러내려 했으며 전체 재료의 종류를 제한하였다. 내부 또한 미장 위 페인트로 단순하게 마감했고 주거공간인 2, 3층의 방들은 모두 건식벽체와 가구로 구획했다. 조명과 가구를 일체화하여 가구 상단에 조명을 설치, 간접조명 방식으로 천장을 비춘다."
D-02526,평창동 주택,서울,서울 종로구 평창동 543-1,서울,종로구,평창동 543-1,상업지역,,단독주택,,,612.27,,,2,1,,,,"풍경, 흐르다   2005년 작업한 “오름” (묵방리 주택) 이후 오랜만에 풍경을 이야기할 수 있는 주택이다.    대지와 풍경은 함께 흘러 내린다. 이 집에서는 풍경을 틀 속에 가두고 싶지 않았다. 풍경은 이 집의 내부나 외부에서 흐란다. 방향과 속도는 다르더라도… 이 집에서 풍경이 흐르는 방향이나 속도는 중요하다. 지붕, 창, 벽 등의 건축적 요소는 풍경의 방향이나 속도를 제어하는 장치이다.    이 집은 기존 주택이 가지고 있던 지형의 프로파일을 그대로 복원해 내고 있다. 대지에 자라고 있는 소나무들까지도… 특히 대지의 중앙에 있던 세 그루의 소나무를 보존하기 위해 평면의 흐름이 조정되었으며 공사 중에도 그만한 대가를 치러야 했다. 그러나 주택 “오름” 에서 남겨진 밤나무 한 그루가 진가를 발휘했듯 이번 역시 남겨진 소나무 세 그루는 새 집이 땅에 쉽게 정착하도록 시간의 흔적을 선물하였다.   (글:건축사사무소 O.C.A)"
D-02531,길음 119 안전센터,서울,서울 성북구 정릉동 966-79,서울,성북구,정릉동 966-79,도시지역,경관지구,근린생활시설,,,908,,,3,1,,,,"[작품설명] 출처 : 2012 서울건축문화제 홈페이지    설계공모를 통해 진행된 본 소방서는 기존의 소방서 이미지를 탈피하여 공공건물의 인지성을 확보하고 지역의 랜드마크 역할을 하게 계획하였다. 상부로 열려진 중정을 통해 내외부공간의 소통 및 시지각적 개방감을 확보하였으며, 다양한 옥외 공간의 유기적 연결을 통해 충분한 휴게공간을 사용자에게 제공한다. 또한 대기공간을 대지후면으로 배치하여 전면도로 및 고가차로의 소음원으로부터 차단하고, 그린데크를 설치하여 휴게 및 소방교육공간으로 활용한다.  매스는 가운데 중정을 두어 내부개방감을 주었고, 2층은 투명하게 구성하여 부유하는 3층매스가 가로에서의 상징성을 가지도록 계획하였으며, 1층은 화강석을 사용하여 건축물의 기단부를 표현하였고, 3층은 칼라강판을 사용하여 부유하는 매스의 이미지를 더욱 강조 하였다.  길음동 가로변에 새롭게 빛나는 등대로서 시민의 안전을 위한, 도시의 랜드마크로 제안한다.    작가의 변  대부분의 소규모 관공서가 넉넉지 않은 공사비로 공사에 어려움을 겪지만 특히 소방서는 그 어려움이 더욱 크다. 소방차가 1층에 들어가야 하는 특징이 있어 1층 층고가 타건물에 비해 1개층 높게 형성되므로 콘크리트 및 마감재료 물량이 1개층 분량만큼 많이 소요되지만 예산책정 시 층수로만 공사비가 산정 되어 공사비가 턱없이 부족한 실정이다. 예산 책정 시 이러한 점들이 잘 반영되어 보다 질좋은 공공건축이 대중에 제공되기를 기대해본다."
